,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,volume
0,0.1,0.01,0.0,REGULAR,AMZN180921P00480000,USD,1537488000,0.7675804492187501,False,0.07,1528401017,468,0.0,480.0,2
1,0.66,0.0,-0.65999997,REGULAR,AMZN180921P00490000,USD,1537488000,0.8818371191406249,False,0.15,1524854344,113,-81.481476,490.0,1
2,0.69,0.0,0.0,REGULAR,AMZN180921P00500000,USD,1537488000,0.8720715917968749,False,0.3,1525884048,125,0.0,500.0,1
3,0.96,0.0,0.0,REGULAR,AMZN180921P00520000,USD,1537488000,0.8740246972656249,False,0.23,1523468798,175,0.0,520.0,1
4,0.57,0.0,0.0,REGULAR,AMZN180921P00540000,USD,1537488000,0.804689453125,False,0.09,1525890142,217,0.0,540.0,10
5,0.23,0.0,-0.53,REGULAR,AMZN180921P00560000,USD,1537488000,0.719729365234375,False,0.1,1527875381,58,-84.126976,560.0,5
6,0.1,0.0,0.05,REGULAR,AMZN180921P00580000,USD,1537488000,0.6523472265625001,False,0.1,1529348971,100,100.0,580.0,18
7,0.18,0.05,0.0,REGULAR,AMZN180921P00600000,USD,1537488000,0.676761044921875,False,0.05,1529001247,447,0.0,600.0,1
8,0.18,0.0,0.0,REGULAR,AMZN180921P00620000,USD,1537488000,0.6435582519531251,False,0.15,1527604186,1031,0.0,620.0,5
9,0.58,0.0,0.049999997,REGULAR,AMZN180921P00640000,USD,1537488000,0.692385888671875,False,0.25,1525448082,39,24.999998,640.0,1
10,0.2,0.0,-2.04,REGULAR,AMZN180921P00650000,USD,1537488000,0.6201209863281252,False,0.22,1526662984,185,-90.26548,650.0,1
11,0.18,0.09,0.0,REGULAR,AMZN180921P00660000,USD,1537488000,0.6264685791015626,False,0.2,1527606758,142,0.0,660.0,21
12,0.76,0.0,0.00999999,REGULAR,AMZN180921P00670000,USD,1537488000,0.6801789794921876,False,0.7,1520628954,107,1.449274,670.0,10
13,0.79,0.0,0.0,REGULAR,AMZN180921P00680000,USD,1537488000,0.6726106958007814,False,2.75,1522694407,120,0.0,680.0,6
14,2.25,1.32,0.1500001,REGULAR,AMZN180921P00690000,USD,1537488000,0.7897970239257812,False,2.2,1522861294,175,7.317078,690.0,24
15,0.24,0.1,-0.030000001,REGULAR,AMZN180921P00700000,USD,1537488000,0.6020547607421877,False,0.2,1527874420,274,-13.043478,700.0,10
16,1.88,1.03,-0.75,REGULAR,AMZN180921P00710000,USD,1537488000,0.7465845654296875,False,1.5,1519655412,28,-33.333336,710.0,2
17,0.87,0.04,0.0,REGULAR,AMZN180921P00720000,USD,1537488000,0.6428258374023439,False,1.25,1524757694,51,0.0,720.0,1
18,1.86,0.59,-0.76999986,REGULAR,AMZN180921P00730000,USD,1537488000,0.7092314233398438,False,1.35,1523632699,54,-36.320747,730.0,1
19,0.85,0.14,0.0,REGULAR,AMZN180921P00740000,USD,1537488000,0.6293982373046876,False,1.14,1524495706,26,0.0,740.0,2
20,0.37,0.0,0.0,REGULAR,AMZN180921P00750000,USD,1537488000,0.5625043750000001,False,0.26,1528207178,432,0.0,750.0,3
21,0.76,0.0,0.0,REGULAR,AMZN180921P00760000,USD,1537488000,0.5939982006835938,False,0.47,1525977157,150,0.0,760.0,2
22,3.55,2.73,0.0,REGULAR,AMZN180921P00770000,USD,1537488000,0.7605004418945314,False,4.0,1522779085,103,0.0,770.0,37
23,0.42,0.0,0.0,REGULAR,AMZN180921P00780000,USD,1537488000,0.5434615966796876,False,0.24,1528138595,4067,0.0,780.0,6
24,0.44,0.0,0.0,REGULAR,AMZN180921P00790000,USD,1537488000,0.5376022802734376,False,0.27,1528138166,178,0.0,790.0,26
25,0.3,0.15,0.0,REGULAR,AMZN180921P00800000,USD,1537488000,0.5307664111328125,False,0.27,1528742182,3457,0.0,800.0,6
26,1.13,0.37,0.0,REGULAR,AMZN180921P00810000,USD,1537488000,0.5930216479492189,False,0.99,1525100512,82,0.0,810.0,1
27,0.36,0.0,-0.07000001,REGULAR,AMZN180921P00820000,USD,1537488000,0.5039112109375,False,0.23,1528905167,208,-23.333336,820.0,8
28,0.55,0.0,0.0,REGULAR,AMZN180921P00830000,USD,1537488000,0.516606396484375,False,0.35,1528140908,161,0.0,830.0,10
29,0.57,0.0,0.0,REGULAR,AMZN180921P00840000,USD,1537488000,0.5105029418945313,False,0.33,1528138595,407,0.0,840.0,4
30,0.51,0.21,-0.050000012,REGULAR,AMZN180921P00850000,USD,1537488000,0.514653291015625,False,0.35,1529330029,557,-12.500003,850.0,1
31,0.79,0.11,-0.36,REGULAR,AMZN180921P00860000,USD,1537488000,0.5188036401367188,False,0.45,1528485135,153,-44.444447,860.0,1
32,6.25,5.45,0.0,REGULAR,AMZN180921P00865000,USD,1537488000,0.731325928955078,False,9.15,1522766544,96,0.0,865.0,3
33,0.67,0.0,0.0,REGULAR,AMZN180921P00870000,USD,1537488000,0.5336960693359375,False,0.5,1528305113,266,0.0,870.0,40
34,0.7,0.25,0.0,REGULAR,AMZN180921P00880000,USD,1537488000,0.5056201782226561,False,0.26,1529002329,456,0.0,880.0,4
35,0.73,0.01,0.030000001,REGULAR,AMZN180921P00900000,USD,1537488000,0.5142870837402342,False,0.38,1529092709,657,8.571429,900.0,1
36,0.68,0.23,0.049999982,REGULAR,AMZN180921P00920000,USD,1537488000,0.49414568359375005,False,0.51,1528898816,258,10.869561,920.0,2
37,0.71,0.34,0.0,REGULAR,AMZN180921P00940000,USD,1537488000,0.4809622216796875,False,0.71,1528135063,519,0.0,940.0,1
38,0.98,0.46,0.0,REGULAR,AMZN180921P00960000,USD,1537488000,0.48413601806640627,False,0.66,1528227444,1910,0.0,960.0,4
39,0.9,0.53,-0.03999996,REGULAR,AMZN180921P00980000,USD,1537488000,0.46362841064453125,False,0.66,1529340353,1800,-5.7142806,980.0,1
40,0.89,0.62,-0.00999999,REGULAR,AMZN180921P01000000,USD,1537488000,0.44788149780273434,False,0.8,1529345230,944,-1.2345667,1000.0,2
41,1.06,0.48,0.0,REGULAR,AMZN180921P01020000,USD,1537488000,0.4426325268554688,False,0.79,1529002165,259,0.0,1020.0,1
42,1.12,0.84,-0.110000014,REGULAR,AMZN180921P01040000,USD,1537488000,0.4309138940429688,False,0.99,1529340353,206,-10.000001,1040.0,1
43,1.3,0.86,-0.049999952,REGULAR,AMZN180921P01060000,USD,1537488000,0.42450526672363287,False,1.1,1529073378,389,-4.347822,1060.0,1
44,1.52,1.1,0.0,REGULAR,AMZN180921P01080000,USD,1537488000,0.4187680194091796,False,1.19,1529002165,373,0.0,1080.0,1
45,1.45,1.21,-0.03999996,REGULAR,AMZN180921P01100000,USD,1537488000,0.401373173828125,False,1.25,1529329338,338,-3.1007724,1100.0,1
46,1.64,1.29,-0.110000014,REGULAR,AMZN180921P01120000,USD,1537488000,0.39380489013671877,False,1.59,1528902210,308,-6.4705887,1120.0,2
47,1.83,1.54,-0.24999988,REGULAR,AMZN180921P01140000,USD,1537488000,0.38556522644042956,False,1.85,1528896852,208,-11.904757,1140.0,5
48,1.99,1.38,0.0,REGULAR,AMZN180921P01160000,USD,1537488000,0.37592176818847656,False,1.78,1529005686,318,0.0,1160.0,5
49,2.11,1.86,0.100000024,REGULAR,AMZN180921P01180000,USD,1537488000,0.3649355499267578,False,2.0,1529351406,378,5.2631593,1180.0,2
50,2.41,2.14,-0.10000014,REGULAR,AMZN180921P01200000,USD,1537488000,0.3581912326049804,False,2.3,1529338474,1753,-4.166672,1200.0,2
51,3.05,2.39,-0.97,REGULAR,AMZN180921P01220000,USD,1537488000,0.35767243896484374,False,2.58,1529070765,301,-27.323944,1220.0,1
52,3.35,2.52,0.0,REGULAR,AMZN180921P01240000,USD,1537488000,0.34882242980957034,False,3.0,1529003468,496,0.0,1240.0,2
53,3.6,3.15,-0.6500001,REGULAR,AMZN180921P01260000,USD,1537488000,0.3386296606445312,False,3.5,1529349397,197,-15.662652,1260.0,10
54,4.0,3.65,-0.49,REGULAR,AMZN180921P01280000,USD,1537488000,0.33054258331298825,False,3.84,1529350572,467,-11.316398,1280.0,12
55,4.5,4.3,0.01999998,REGULAR,AMZN180921P01300000,USD,1537488000,0.3232184378051757,False,4.67,1529330979,1146,0.43010712,1300.0,3
56,5.3,4.9,-0.23999977,REGULAR,AMZN180921P01320000,USD,1537488000,0.3188849850463866,False,5.21,1529351559,180,-4.4036655,1320.0,55
57,6.2,5.65,-0.06000042,REGULAR,AMZN180921P01340000,USD,1537488000,0.3143073941040039,False,5.99,1529344532,381,-0.99174243,1340.0,1
58,6.6,6.15,-0.3000002,REGULAR,AMZN180921P01350000,USD,1537488000,0.31098101135253897,False,6.47,1529351559,472,-4.4313173,1350.0,52
59,7.85,6.4,0.0,REGULAR,AMZN180921P01360000,USD,1537488000,0.31560437820434567,False,7.05,1528996499,447,0.0,1360.0,2
60,8.4,6.85,0.03999996,REGULAR,AMZN180921P01370000,USD,1537488000,0.3128120477294921,False,7.84,1529091055,90,0.51282,1370.0,17
61,8.15,7.75,-0.52000046,REGULAR,AMZN180921P01380000,USD,1537488000,0.30277186492919916,False,8.0,1529336930,472,-6.1032915,1380.0,11
62,8.85,8.25,-0.9300003,REGULAR,AMZN180921P01390000,USD,1537488000,0.30098660446166997,False,8.74,1529341259,392,-9.617376,1390.0,1
63,9.45,9.0,-0.3800001,REGULAR,AMZN180921P01400000,USD,1537488000,0.29799591171264644,False,9.4,1529345708,1135,-3.8854818,1400.0,56
64,11.2,9.55,-4.5,REGULAR,AMZN180921P01410000,USD,1537488000,0.30324488265991206,False,10.3,1529081255,263,-30.405405,1410.0,2
65,10.95,10.4,-0.07999992,REGULAR,AMZN180921P01420000,USD,1537488000,0.2933420275878905,False,10.75,1529345858,511,-0.7386881,1420.0,4
66,11.8,11.25,0.07999992,REGULAR,AMZN180921P01430000,USD,1537488000,0.2911600425720214,False,11.75,1529330037,241,0.6855178,1430.0,1
67,12.7,12.2,-0.77000046,REGULAR,AMZN180921P01440000,USD,1537488000,0.288947540283203,False,12.33,1529335374,455,-5.877866,1440.0,20
68,13.65,13.15,-0.6000004,REGULAR,AMZN180921P01450000,USD,1537488000,0.2866587448120117,False,13.7,1529333896,503,-4.195807,1450.0,1
69,14.75,14.2,-0.94000053,REGULAR,AMZN180921P01460000,USD,1537488000,0.284888742980957,False,14.57,1529343890,336,-6.06061,1460.0,7
70,17.3,15.55,0.0,REGULAR,AMZN180921P01470000,USD,1537488000,0.290725171432495,False,15.98,1529004288,171,0.0,1470.0,1
71,17.0,16.5,-0.14999962,REGULAR,AMZN180921P01480000,USD,1537488000,0.28039507453918455,False,17.02,1529337728,217,-0.87361455,1480.0,3
72,20.15,18.35,0.62000084,REGULAR,AMZN180921P01490000,USD,1537488000,0.28784891845703114,False,19.1,1529082751,95,3.354983,1490.0,1
73,19.7,19.25,-1.0499992,REGULAR,AMZN180921P01500000,USD,1537488000,0.27664907928466786,False,19.68,1529345887,895,-5.0651193,1500.0,34
