,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,volume
0,222.15,221.91,0.1499939,REGULAR,SPY180921C00055000,USD,1537488000,1.780762814941406,True,221.65,1529342657,21,0.067717336,55.0,831
1,217.18,216.95,-0.08000183,REGULAR,SPY180921C00060000,USD,1537488000,1.6928726293945315,True,216.69,1529342808,153,-0.03690632,60.0,640
2,212.21,211.98,0.22000122,REGULAR,SPY180921C00065000,USD,1537488000,1.6118183471679686,True,211.69,1529342808,10,0.10403425,65.0,285
3,207.24,207.01,8.220001,REGULAR,SPY180921C00070000,USD,1537488000,1.5368675500488282,True,205.75,1529331416,0,4.161394,70.0,10
4,191.53,191.15,0.0,REGULAR,SPY180921C00075000,USD,1537488000,1.0000000000000003e-05,True,189.56,1525492482,99,0.0,75.0,99
5,172.94,172.32,0.0,REGULAR,SPY180921C00095000,USD,1537488000,1.0000000000000003e-05,True,173.38,1513701690,0,0.0,95.0,2
6,177.43,177.2,-1.2200012,REGULAR,SPY180921C00100000,USD,1537488000,1.1828654138183592,True,176.9,1529343153,0,-0.6849322,100.0,4
7,168.67,168.29,0.0,REGULAR,SPY180921C00110000,USD,1537488000,1.2004434509277342,True,164.04,1515598142,0,0.0,110.0,2
8,161.09,160.92,0.0,REGULAR,SPY180921C00115000,USD,1537488000,0.8349625878906248,True,161.01,1529432169,10,0.0,115.0,10
9,158.73,158.36,0.0,REGULAR,SPY180921C00120000,USD,1537488000,1.104618734741211,True,155.59,1515524347,10,0.0,120.0,2
10,129.92,129.41,0.0,REGULAR,SPY180921C00130000,USD,1537488000,1.0000000000000003e-05,True,132.15,1518209158,0,0.0,130.0,20
11,125.11,124.48,0.0,REGULAR,SPY180921C00135000,USD,1537488000,1.0000000000000003e-05,True,137.07,1518718788,0,0.0,135.0,4
12,112.79,112.35,0.0,REGULAR,SPY180921C00145000,USD,1537488000,1.0000000000000003e-05,True,101.62,1500649413,0,0.0,145.0,2
13,90.81,90.26,0.0,REGULAR,SPY180921C00170000,USD,1537488000,1.0000000000000003e-05,True,95.67,1517931592,5,0.0,170.0,3
14,103.41,103.15,0.0,REGULAR,SPY180921C00175000,USD,1537488000,0.649417568359375,True,102.85,1528381046,482,0.0,175.0,1
