ask,276.66
askSize,30
averageDailyVolume10Day,77597900
averageDailyVolume3Month,86874682
bid,276.65
bidSize,31
currency,USD
esgPopulated,False
exchange,PCX
exchangeDataDelayedBy,0
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
fiftyDayAverage,272.17618
fiftyDayAverageChange,4.4138184
fiftyDayAverageChangePercent,0.01621677
fiftyTwoWeekHigh,286.58
fiftyTwoWeekHighChange,-9.98999
fiftyTwoWeekHighChangePercent,-0.034859344
fiftyTwoWeekLow,239.96
fiftyTwoWeekLowChange,36.62999
fiftyTwoWeekLowChangePercent,0.1526504
fiftyTwoWeekRange,239.96 - 286.58
financialCurrency,USD
fullExchangeName,NYSEArca
gmtOffSetMilliseconds,-14400000
language,en-US
longName,SPDRÂ S&amp;P 500 ETF
market,us_market
marketCap,270085144576
marketState,POST
messageBoardId,finmb_6160262
postMarketChange,0.16000366
postMarketChangePercent,0.057854954
postMarketPrice,276.72
postMarketTime,1529355999
priceHint,2
quoteSourceName,Nasdaq Real Time Price
quoteType,ETF
regularMarketChange,-0.54000854
regularMarketChangePercent,-0.19485748
regularMarketDayHigh,276.7
regularMarketDayLow,274.95
regularMarketDayRange,274.95 - 276.7
regularMarketOpen,275.49
regularMarketPreviousClose,277.13
regularMarketPrice,276.59
regularMarketTime,1529352001
regularMarketVolume,47331357
sharesOutstanding,976481984
shortName,SPDR S&P 500
sourceInterval,15
symbol,SPY
tradeable,True
trailingThreeMonthNavReturns,0.16
trailingThreeMonthReturns,0.14
twoHundredDayAverage,270.50354
twoHundredDayAverageChange,6.0864563
twoHundredDayAverageChangePercent,0.022500468
ytdReturn,1.98
