,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,volume
0,0.01,0.0,0.01,REGULAR,SPY181019P00100000,USD,1539907200,0.64062859375,False,0.01,1531415083,744,100.0,100.0,220
1,0.02,0.0,-0.01,REGULAR,SPY181019P00105000,USD,1539907200,0.648441015625,False,0.01,1532104662,1,-50.0,105.0,4377
2,0.02,0.01,0.03,REGULAR,SPY181019P00110000,USD,1539907200,0.64062859375,False,0.03,1530800209,5,100.0,110.0,5
3,0.02,0.01,0.0,REGULAR,SPY181019P00115000,USD,1539907200,0.6093789062500001,False,0.03,1531540728,1,0.0,115.0,1
4,0.03,0.02,0.02,REGULAR,SPY181019P00120000,USD,1539907200,0.6093789062500001,False,0.02,1531769070,0,100.0,120.0,3
5,0.04,0.02,0.01,REGULAR,SPY181019P00125000,USD,1539907200,0.5898478515625001,False,0.03,1532721061,7,50.0,125.0,3
6,0.04,0.03,0.03,REGULAR,SPY181019P00130000,USD,1539907200,0.570316796875,False,0.03,1531768555,6,59.999996,130.0,3
7,0.05,0.03,0.0,REGULAR,SPY181019P00135000,USD,1539907200,0.5507857421875001,False,0.03,1532703252,1018,0.0,135.0,3
8,0.06,0.04,0.0,REGULAR,SPY181019P00140000,USD,1539907200,0.5390671093750001,False,0.03,1532529356,315,0.0,140.0,3
9,0.06,0.05,0.0,REGULAR,SPY181019P00145000,USD,1539907200,0.51758294921875,False,0.04,1532618667,49,0.0,145.0,2
10,0.07,0.06,0.0,REGULAR,SPY181019P00150000,USD,1539907200,0.5019581054687501,False,0.05,1532700814,914,0.0,150.0,10
11,0.08,0.07,0.0,REGULAR,SPY181019P00155000,USD,1539907200,0.48828636718750007,False,0.05,1532700821,832,0.0,155.0,10
12,0.09,0.08,0.0,REGULAR,SPY181019P00160000,USD,1539907200,0.47070841796875,False,0.06,1532700832,809,0.0,160.0,10
13,0.1,0.09,0.0,REGULAR,SPY181019P00165000,USD,1539907200,0.45215391601562505,False,0.07,1532700840,736,0.0,165.0,10
14,0.11,0.1,0.030000001,REGULAR,SPY181019P00170000,USD,1539907200,0.43408769042968753,False,0.11,1532717749,703,37.500004,170.0,22
15,0.13,0.12,0.03999999,REGULAR,SPY181019P00175000,USD,1539907200,0.41992767578125,False,0.13,1532711171,695,44.44443,175.0,42
16,0.15,0.14,0.0,REGULAR,SPY181019P00180000,USD,1539907200,0.40430283203125,False,0.11,1532700866,788,0.0,180.0,10
17,0.17,0.16,0.0,REGULAR,SPY181019P00185000,USD,1539907200,0.3881897119140625,False,0.13,1532700876,719,0.0,185.0,30
18,0.19,0.17,-0.00999999,REGULAR,SPY181019P00190000,USD,1539907200,0.3715883154296875,False,0.15,1532700884,1170,-6.2499943,190.0,30
19,0.21,0.2,0.049999997,REGULAR,SPY181019P00195000,USD,1539907200,0.3544986425781249,False,0.22,1532713732,548,29.411762,195.0,41
20,0.25,0.23,0.0,REGULAR,SPY181019P00200000,USD,1539907200,0.3413151806640625,False,0.2,1532700902,1209,0.0,200.0,10
21,0.28,0.26,0.0,REGULAR,SPY181019P00205000,USD,1539907200,0.32520206054687495,False,0.26,1532440949,530,0.0,205.0,1
22,0.33,0.31,0.03999999,REGULAR,SPY181019P00210000,USD,1539907200,0.31153032226562494,False,0.32,1532713915,900,14.285712,210.0,106
23,0.38,0.36,0.0,REGULAR,SPY181019P00215000,USD,1539907200,0.2966378930664062,False,0.32,1532612620,901,0.0,215.0,2
24,0.43,0.42,0.060000002,REGULAR,SPY181019P00220000,USD,1539907200,0.2810130493164062,False,0.43,1532715015,1590,16.216217,220.0,208
25,0.51,0.49,0.100000024,REGULAR,SPY181019P00225000,USD,1539907200,0.26734131103515624,False,0.54,1532710890,5824,22.727278,225.0,100
26,0.6,0.57,0.07999998,REGULAR,SPY181019P00230000,USD,1539907200,0.25318129638671877,False,0.62,1532712984,5576,14.814811,230.0,407
27,0.71,0.68,0.06999999,REGULAR,SPY181019P00235000,USD,1539907200,0.2391433508300781,False,0.69,1532709361,7918,11.290321,235.0,45
28,0.84,0.82,0.099999964,REGULAR,SPY181019P00240000,USD,1539907200,0.22473919799804684,False,0.84,1532721014,8362,13.513509,240.0,1622
29,0.87,0.85,0.0,REGULAR,SPY181019P00241000,USD,1539907200,0.2219316088867187,False,0.79,1532545807,3024,0.0,241.0,47
30,0.9,0.88,-0.06999999,REGULAR,SPY181019P00242000,USD,1539907200,0.21900195068359374,False,0.91,1532720650,2372,-7.142856,242.0,261
31,0.94,0.92,0.109999955,REGULAR,SPY181019P00243000,USD,1539907200,0.21656056884765623,False,0.96,1532710260,2607,12.941172,243.0,209
32,0.97,0.95,0.120000005,REGULAR,SPY181019P00244000,USD,1539907200,0.21344780700683597,False,0.99,1532720401,11261,13.793103,244.0,273
33,1.01,0.99,0.13,REGULAR,SPY181019P00245000,USD,1539907200,0.2108233215332031,False,0.99,1532722309,4687,15.116279,245.0,447
34,1.05,1.03,0.13999993,REGULAR,SPY181019P00246000,USD,1539907200,0.20807676696777339,False,1.06,1532719008,4167,15.217383,246.0,483
35,1.1,1.07,0.21999997,REGULAR,SPY181019P00247000,USD,1539907200,0.20569641967773436,False,1.16,1532712592,2665,23.404253,247.0,577
36,1.14,1.11,0.26999998,REGULAR,SPY181019P00248000,USD,1539907200,0.20276676147460934,False,1.27,1532710991,4294,26.999998,248.0,124
37,1.19,1.16,0.19000006,REGULAR,SPY181019P00249000,USD,1539907200,0.20020331054687499,False,1.24,1532712595,1578,18.095245,249.0,106
38,1.24,1.21,0.16999996,REGULAR,SPY181019P00250000,USD,1539907200,0.19751779052734375,False,1.24,1532720557,28353,15.887846,250.0,1076
39,1.29,1.26,0.21000004,REGULAR,SPY181019P00251000,USD,1539907200,0.1947102014160156,False,1.32,1532718327,964,18.918922,251.0,132
40,1.34,1.31,0.1500001,REGULAR,SPY181019P00252000,USD,1539907200,0.19178054321289065,False,1.33,1532721482,50199,12.711874,252.0,604
41,1.4,1.37,0.100000024,REGULAR,SPY181019P00253000,USD,1539907200,0.1891560577392578,False,1.47,1532715935,5000,7.299272,253.0,622
42,1.46,1.43,0.1400001,REGULAR,SPY181019P00254000,USD,1539907200,0.18640950317382812,False,1.45,1532721535,8007,10.687032,254.0,7166
43,1.52,1.49,0.28999996,REGULAR,SPY181019P00255000,USD,1539907200,0.18354087951660153,False,1.63,1532717423,9437,21.641788,255.0,691
44,1.6,1.56,0.13999999,REGULAR,SPY181019P00256000,USD,1539907200,0.18128260131835935,False,1.56,1532721593,5687,9.859155,256.0,636
45,1.67,1.63,0.31999993,REGULAR,SPY181019P00257000,USD,1539907200,0.17847501220703127,False,1.76,1532716756,3925,22.222216,257.0,875
46,1.74,1.7,0.27999997,REGULAR,SPY181019P00258000,USD,1539907200,0.17554535400390625,False,1.74,1532720826,7446,19.17808,258.0,752
47,1.82,1.78,0.27999997,REGULAR,SPY181019P00259000,USD,1539907200,0.1727987994384766,False,1.85,1532720326,12988,17.834393,259.0,355
48,1.9,1.88,0.26,REGULAR,SPY181019P00260000,USD,1539907200,0.16993017578125003,False,1.89,1532722462,19502,15.95092,260.0,679
49,1.99,1.96,0.27999997,REGULAR,SPY181019P00261000,USD,1539907200,0.16724465576171876,False,1.97,1532722327,3598,16.568045,261.0,1265
50,2.09,2.06,0.37000012,REGULAR,SPY181019P00262000,USD,1539907200,0.16462017028808595,False,2.14,1532718504,27186,20.903961,262.0,22563
51,2.19,2.16,0.2600001,REGULAR,SPY181019P00263000,USD,1539907200,0.16187361572265624,False,2.16,1532721579,3178,13.6842165,263.0,342
52,2.29,2.26,0.26999998,REGULAR,SPY181019P00264000,USD,1539907200,0.15894395751953128,False,2.25,1532722122,5682,13.636362,264.0,776
53,2.41,2.38,0.36000013,REGULAR,SPY181019P00265000,USD,1539907200,0.1563499893188477,False,2.4,1532721003,26723,17.647066,265.0,748
