ask,1723.0
askSize,8
averageDailyVolume10Day,3128650
averageDailyVolume3Month,4917519
bid,1722.61
bidSize,8
bookValue,64.872
currency,USD
earningsTimestamp,1524772800
earningsTimestampEnd,1532980800
earningsTimestampStart,1532548800
epsForward,20.04
epsTrailingTwelveMonths,7.95
esgPopulated,False
exchange,NMS
exchangeDataDelayedBy,0
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
fiftyDayAverage,1625.2579
fiftyDayAverageChange,98.1593
fiftyDayAverageChangePercent,0.06039614
fiftyTwoWeekHigh,1724.8
fiftyTwoWeekHighChange,-1.3828125
fiftyTwoWeekHighChangePercent,-0.0008017234
fiftyTwoWeekLow,931.75
fiftyTwoWeekLowChange,791.66724
fiftyTwoWeekLowChangePercent,0.8496563
fiftyTwoWeekRange,931.75 - 1724.8
financialCurrency,USD
forwardPE,85.99886
fullExchangeName,NasdaqGS
gmtOffSetMilliseconds,-14400000
language,en-US
longName,"Amazon.com, Inc."
market,us_market
marketCap,836248600576
marketState,REGULAR
messageBoardId,finmb_18749
priceHint,2
priceToBook,26.566425
quoteSourceName,Nasdaq Real Time Price
quoteType,EQUITY
regularMarketChange,7.4472656
regularMarketChangePercent,0.43399745
regularMarketDayHigh,1723.9899
regularMarketDayLow,1702.56
regularMarketDayRange,1702.56 - 1723.9899
regularMarketOpen,1706.26
regularMarketPreviousClose,1715.97
regularMarketPrice,1723.4172
regularMarketTime,1529334051
regularMarketVolume,1264901
sharesOutstanding,485227008
shortName,"Amazon.com, Inc."
sourceInterval,15
symbol,AMZN
tradeable,True
trailingPE,216.78204
twoHundredDayAverage,1443.5345
twoHundredDayAverageChange,279.8827
twoHundredDayAverageChangePercent,0.19388707
