,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,volume
0,221.38,221.22,-0.33999634,REGULAR,SPY180921C00055000,USD,1537488000,1.1796916015624999,True,221.16,1529332684,21,-0.15349722,55.0,379
1,216.47,216.27,-0.58000183,REGULAR,SPY180921C00060000,USD,1537488000,1.193363408203125,True,216.19,1529332684,153,-0.26756552,60.0,386
2,212.66,212.31,8.949997,REGULAR,SPY180921C00065000,USD,1537488000,1.5305199255371091,True,211.47,1529079986,0,4.419315,65.0,10
3,206.54,206.33,8.220001,REGULAR,SPY180921C00070000,USD,1537488000,1.12109814453125,True,205.75,1529331416,0,4.161394,70.0,10
4,191.53,191.15,0.0,REGULAR,SPY180921C00075000,USD,1537488000,1.0000000000000003e-05,True,189.56,1525492482,99,0.0,75.0,99
5,172.94,172.32,0.0,REGULAR,SPY180921C00095000,USD,1537488000,1.0000000000000003e-05,True,173.38,1513701690,0,0.0,95.0,2
6,180.81,180.44,0.0,REGULAR,SPY180921C00100000,USD,1537488000,1.4304227697753906,True,178.12,1516204506,0,0.0,100.0,2
7,168.67,168.29,0.0,REGULAR,SPY180921C00110000,USD,1537488000,1.1220747021484376,True,164.04,1515598142,0,0.0,110.0,2
8,158.73,158.36,0.0,REGULAR,SPY180921C00120000,USD,1537488000,1.0332079589843752,True,155.59,1515524347,10,0.0,120.0,2
9,129.92,129.41,0.0,REGULAR,SPY180921C00130000,USD,1537488000,1.0000000000000003e-05,True,132.15,1518209158,0,0.0,130.0,20
10,125.11,124.48,0.0,REGULAR,SPY180921C00135000,USD,1537488000,1.0000000000000003e-05,True,137.07,1518718788,0,0.0,135.0,4
11,112.79,112.35,0.0,REGULAR,SPY180921C00145000,USD,1537488000,1.0000000000000003e-05,True,101.62,1500649413,0,0.0,145.0,2
12,90.81,90.26,0.0,REGULAR,SPY180921C00170000,USD,1537488000,1.0000000000000003e-05,True,95.67,1517931592,5,0.0,170.0,3
13,103.41,103.15,0.0,REGULAR,SPY180921C00175000,USD,1537488000,0.6012002770996094,True,102.85,1528381046,482,0.0,175.0,1
14,88.88,88.43,17.510002,REGULAR,SPY180921C00180000,USD,1537488000,1.0000000000000003e-05,True,88.98,1513712236,140,24.499794,180.0,2
15,93.44,93.18,0.0,REGULAR,SPY180921C00185000,USD,1537488000,0.5423629748535157,True,92.0,1528310447,641,0.0,185.0,10
16,71.71,71.18,0.0,REGULAR,SPY180921C00190000,USD,1537488000,1.0000000000000003e-05,True,84.56,1521468502,331,0.0,190.0,48
17,83.51,83.26,2.4800034,REGULAR,SPY180921C00195000,USD,1537488000,0.4952443054199219,True,82.26,1528467530,490,3.108553,195.0,2
18,66.09,65.57,0.0,REGULAR,SPY180921C00196000,USD,1537488000,1.0000000000000003e-05,True,78.83,1521468482,20,0.0,196.0,20
19,65.16,64.64,0.0,REGULAR,SPY180921C00197000,USD,1537488000,1.0000000000000003e-05,True,77.88,1521468502,36,0.0,197.0,26
20,63.3,62.79,0.0,REGULAR,SPY180921C00199000,USD,1537488000,1.0000000000000003e-05,True,75.97,1521468155,30,0.0,199.0,20
21,78.72,78.37,-1.2400055,REGULAR,SPY180921C00200000,USD,1537488000,0.4771780798339844,True,77.63,1529075814,335,-1.5722142,200.0,19
22,61.45,60.95,0.0,REGULAR,SPY180921C00201000,USD,1537488000,1.0000000000000003e-05,True,79.24,1520976031,0,0.0,201.0,2
23,60.53,60.03,0.0,REGULAR,SPY180921C00202000,USD,1537488000,1.0000000000000003e-05,True,73.22,1521468117,10,0.0,202.0,10
24,58.69,58.2,0.0,REGULAR,SPY180921C00204000,USD,1537488000,1.0000000000000003e-05,True,71.33,1521468117,10,0.0,204.0,10
25,73.78,73.45,-0.40000153,REGULAR,SPY180921C00205000,USD,1537488000,0.4513604669189454,True,73.35,1529090725,511,-0.5423749,205.0,6
26,68.86,68.52,-0.4399948,REGULAR,SPY180921C00210000,USD,1537488000,0.42664147583007817,True,68.48,1529090883,592,-0.63841385,210.0,23
27,63.04,62.74,0.0,REGULAR,SPY180921C00211000,USD,1537488000,1.0000000000000003e-05,True,57.38,1525703950,402,0.0,211.0,2
28,66.89,66.56,0.0,REGULAR,SPY180921C00212000,USD,1537488000,0.41663181030273433,True,67.17,1529006439,255,0.0,212.0,1
29,52.67,52.33,0.0,REGULAR,SPY180921C00213000,USD,1537488000,1.0000000000000003e-05,True,55.99,1522159235,150,0.0,213.0,10
30,64.93,64.59,5.09,REGULAR,SPY180921C00214000,USD,1537488000,0.4071104211425781,True,64.0,1529075365,1292,8.640299,214.0,30
31,63.95,63.61,0.0,REGULAR,SPY180921C00215000,USD,1537488000,0.4023497265625,True,64.17,1528996971,717,0.0,215.0,4
32,62.96,62.65,6.720001,REGULAR,SPY180921C00216000,USD,1537488000,0.39716179016113284,True,62.95,1529086111,512,11.950918,216.0,84
33,61.98,61.65,0.0,REGULAR,SPY180921C00217000,USD,1537488000,0.3924010955810546,True,61.98,1528993770,1034,0.0,217.0,2
34,54.77,54.46,0.0,REGULAR,SPY180921C00218000,USD,1537488000,1.0000000000000003e-05,True,55.21,1526583250,323,0.0,218.0,2
35,60.02,59.71,-0.90999985,REGULAR,SPY180921C00219000,USD,1537488000,0.38281867187499996,True,58.96,1529080400,125,-1.5199597,219.0,2
36,59.04,58.73,0.0,REGULAR,SPY180921C00220000,USD,1537488000,0.37805797729492185,True,59.0,1529003902,1028,0.0,220.0,44
37,57.53,57.22,0.0,REGULAR,SPY180921C00221000,USD,1537488000,0.35156898437499995,True,58.62,1528931638,29,0.0,221.0,4
38,56.55,56.25,0.0,REGULAR,SPY180921C00222000,USD,1537488000,0.34705242797851554,True,57.04,1528828852,56,0.0,222.0,9
39,55.58,55.27,0.0,REGULAR,SPY180921C00223000,USD,1537488000,0.3429631134033203,True,56.04,1528829061,110,0.0,223.0,9
40,54.61,54.3,0.0,REGULAR,SPY180921C00224000,USD,1537488000,0.3388127642822265,True,55.07,1528829212,10,0.0,224.0,8
41,54.16,53.85,-1.0,REGULAR,SPY180921C00225000,USD,1537488000,0.35474278076171867,True,53.2,1529075519,745,-1.8450184,225.0,10
42,52.04,51.92,-1.5900002,REGULAR,SPY180921C00226000,USD,1537488000,0.3040230731201171,True,51.36,1529329481,910,-3.0028331,226.0,2
43,51.09,50.92,-0.75,REGULAR,SPY180921C00227000,USD,1537488000,0.3011544494628906,True,50.4,1529329506,1028,-1.4662757,227.0,2
44,37.48,37.09,0.0,REGULAR,SPY180921C00228000,USD,1537488000,1.0000000000000003e-05,True,51.06,1521130660,1203,0.0,228.0,8
45,50.26,49.93,0.0,REGULAR,SPY180921C00229000,USD,1537488000,0.3360662097167969,True,50.51,1528992770,824,0.0,229.0,2
46,49.29,48.96,0.0,REGULAR,SPY180921C00230000,USD,1537488000,0.3315496533203125,True,49.41,1528993574,1521,0.0,230.0,8
47,39.53,39.23,0.8199997,REGULAR,SPY180921C00231000,USD,1537488000,1.0000000000000003e-05,True,39.13,1524250643,1068,2.1404324,231.0,2
48,46.84,46.55,0.0,REGULAR,SPY180921C00232000,USD,1537488000,0.3045723840332031,True,48.02,1528732367,605,0.0,232.0,1
49,45.88,45.58,0.0,REGULAR,SPY180921C00233000,USD,1537488000,0.30060513854980464,True,46.25,1528830200,1164,0.0,233.0,2
50,32.44,32.16,0.0,REGULAR,SPY180921C00234000,USD,1537488000,1.0000000000000003e-05,True,33.45,1522179075,2263,0.0,234.0,3
51,43.35,43.18,-2.130001,REGULAR,SPY180921C00235000,USD,1537488000,0.2706371765136719,True,42.42,1529328724,2189,-4.781147,235.0,10
52,43.48,43.17,0.0,REGULAR,SPY180921C00236000,USD,1537488000,0.3042672113037109,True,43.63,1528991564,1589,0.0,236.0,2
53,42.52,42.2,0.0,REGULAR,SPY180921C00237000,USD,1537488000,0.2998727239990234,True,42.91,1528992485,1541,0.0,237.0,3
54,41.56,41.26,0.0,REGULAR,SPY180921C00238000,USD,1537488000,0.2954782366943359,True,41.45,1528995783,372,0.0,238.0,10
