,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,volume
0,0.05,0.0,0.0,REGULAR,SPY180921P00055000,USD,1537488000,1.0546922265625,False,0.03,1518114685,299,0.0,55.0,18
1,0.06,0.0,0.0,REGULAR,SPY180921P00060000,USD,1537488000,1.01172369140625,False,0.01,1520618396,1103,0.0,60.0,80
2,0.06,0.0,0.0,REGULAR,SPY180921P00065000,USD,1537488000,0.9609378906249999,False,0.01,1520610442,41,0.0,65.0,6
3,0.02,0.0,0.01,REGULAR,SPY180921P00070000,USD,1537488000,0.8281267187499999,False,0.02,1524246504,4242,100.0,70.0,1
4,0.01,0.0,0.0,REGULAR,SPY180921P00075000,USD,1537488000,0.7500025,False,0.02,1521830255,1403,0.0,75.0,1280
5,0.01,0.0,0.0,REGULAR,SPY180921P00080000,USD,1537488000,0.7187528125,False,0.02,1527620663,2714,0.0,80.0,5
6,0.02,0.0,-0.04,REGULAR,SPY180921P00085000,USD,1537488000,0.7187528125,False,0.01,1526068999,2298,-79.99999,85.0,100
7,0.01,0.0,-0.02,REGULAR,SPY180921P00090000,USD,1537488000,0.6562534375000001,False,0.01,1528469077,2494,-66.66667,90.0,4
8,0.01,0.0,0.0,REGULAR,SPY180921P00095000,USD,1537488000,0.6250037500000001,False,0.01,1527182154,1564,0.0,95.0,120
9,0.02,0.01,0.0,REGULAR,SPY180921P00100000,USD,1537488000,0.64062859375,False,0.02,1528811056,8404,0.0,100.0,1
10,0.02,0.01,0.01,REGULAR,SPY180921P00105000,USD,1537488000,0.6132851171875001,False,0.02,1528468527,5582,100.0,105.0,3
11,0.03,0.02,0.0,REGULAR,SPY180921P00120000,USD,1537488000,0.5546919531250001,False,0.02,1528810988,1771,0.0,120.0,55
12,0.04,0.03,0.0,REGULAR,SPY180921P00125000,USD,1537488000,0.5468795312500001,False,0.03,1526910040,1880,0.0,125.0,100
13,0.05,0.03,0.0,REGULAR,SPY180921P00130000,USD,1537488000,0.5273484765625001,False,0.04,1528473836,4756,0.0,130.0,375
14,0.05,0.04,-0.02,REGULAR,SPY180921P00135000,USD,1537488000,0.5097705273437501,False,0.05,1528473836,2324,-28.571426,135.0,166
15,0.06,0.05,-0.009999998,REGULAR,SPY180921P00140000,USD,1537488000,0.500005,False,0.05,1528899707,1879,-16.666664,140.0,2
16,0.07,0.06,-0.08,REGULAR,SPY180921P00145000,USD,1537488000,0.48438015625,False,0.05,1528899705,1273,-61.538464,145.0,30
17,0.07,0.06,0.010000002,REGULAR,SPY180921P00150000,USD,1537488000,0.459966337890625,False,0.07,1529077105,6981,16.66667,150.0,11
18,0.08,0.06,-0.009999998,REGULAR,SPY180921P00155000,USD,1537488000,0.44336494140625,False,0.07,1529073317,4045,-12.499998,155.0,10
19,0.08,0.07,0.020000003,REGULAR,SPY180921P00160000,USD,1537488000,0.42188078125,False,0.09,1529073326,1099,28.571432,160.0,10
20,0.1,0.09,0.010000005,REGULAR,SPY180921P00165000,USD,1537488000,0.4101621484375,False,0.09,1529092219,3678,12.500008,165.0,12
21,0.1,0.09,0.009999998,REGULAR,SPY180921P00170000,USD,1537488000,0.38867798828125,False,0.11,1529086627,26470,9.999998,170.0,22
22,0.12,0.11,0.009999998,REGULAR,SPY180921P00175000,USD,1537488000,0.3754945263671875,False,0.12,1529090736,11404,9.090907,175.0,11
23,0.13,0.12,-0.009999998,REGULAR,SPY180921P00180000,USD,1537488000,0.358404853515625,False,0.12,1529083610,17393,-7.6923065,180.0,110
24,0.15,0.14,0.019999996,REGULAR,SPY180921P00185000,USD,1537488000,0.3437565625,False,0.17,1529073951,3622,13.333329,185.0,41
25,0.18,0.17,0.010000005,REGULAR,SPY180921P00190000,USD,1537488000,0.3315496533203125,False,0.18,1529090160,5699,5.882356,190.0,123
26,0.21,0.2,0.0,REGULAR,SPY180921P00195000,USD,1537488000,0.3178779150390625,False,0.22,1529073405,7036,0.0,195.0,11
27,0.21,0.2,0.010000005,REGULAR,SPY180921P00196000,USD,1537488000,0.31372756591796874,False,0.23,1529073415,559,4.545457,196.0,10
28,0.22,0.21,0.030000001,REGULAR,SPY180921P00197000,USD,1537488000,0.31153032226562494,False,0.25,1529073426,390,13.636364,197.0,10
29,0.23,0.22,0.019999996,REGULAR,SPY180921P00198000,USD,1537488000,0.309577216796875,False,0.25,1529073436,326,8.69565,198.0,10
30,0.24,0.22,0.00999999,REGULAR,SPY180921P00199000,USD,1537488000,0.30762411132812495,False,0.26,1529073446,424,3.9999962,199.0,30
31,0.24,0.23,0.0,REGULAR,SPY180921P00200000,USD,1537488000,0.30322962402343745,False,0.25,1529089768,21880,0.0,200.0,30
32,0.3,0.28,-0.050000012,REGULAR,SPY180921P00201000,USD,1537488000,0.309577216796875,False,0.31,1528473836,1533,-13.888891,201.0,15
33,0.3,0.29,0.0,REGULAR,SPY180921P00202000,USD,1537488000,0.30542686767578126,False,0.28,1528821151,1463,0.0,202.0,25
34,0.32,0.3,-0.00999999,REGULAR,SPY180921P00203000,USD,1537488000,0.3042061767578125,False,0.33,1528473836,1932,-2.9411738,203.0,15
35,0.33,0.32,0.0,REGULAR,SPY180921P00204000,USD,1537488000,0.301764794921875,False,0.34,1528473836,2129,0.0,204.0,15
36,0.29,0.28,0.00999999,REGULAR,SPY180921P00205000,USD,1537488000,0.2915109912109374,False,0.29,1529092771,8779,3.571425,205.0,50
37,0.34,0.33,0.0,REGULAR,SPY180921P00206000,USD,1537488000,0.2946847875976562,False,0.31,1528832769,239,0.0,206.0,75
38,0.35,0.34,-0.050000012,REGULAR,SPY180921P00207000,USD,1537488000,0.2919992675781249,False,0.32,1528912870,812,-13.513515,207.0,2
39,0.32,0.31,0.0,REGULAR,SPY180921P00208000,USD,1537488000,0.2836985693359374,False,0.32,1528986098,144,0.0,208.0,3
40,0.33,0.32,0.0,REGULAR,SPY180921P00209000,USD,1537488000,0.28076891113281244,False,0.33,1529092200,971,0.0,209.0,91
41,0.34,0.33,0.0,REGULAR,SPY180921P00210000,USD,1537488000,0.27808339111328123,False,0.34,1529069517,64453,0.0,210.0,63
42,0.35,0.34,0.02000001,REGULAR,SPY180921P00211000,USD,1537488000,0.27539787109374997,False,0.37,1529076085,5785,5.7142887,211.0,10
43,0.36,0.35,0.00999999,REGULAR,SPY180921P00212000,USD,1537488000,0.27246821289062495,False,0.37,1529090940,17378,2.777775,212.0,60
44,0.38,0.36,0.0,REGULAR,SPY180921P00213000,USD,1537488000,0.2708813146972656,False,0.37,1528985512,3026,0.0,213.0,3
45,0.39,0.38,0.0,REGULAR,SPY180921P00214000,USD,1537488000,0.26782958740234375,False,0.38,1528985386,4800,0.0,214.0,3
46,0.41,0.39,0.0,REGULAR,SPY180921P00215000,USD,1537488000,0.2661206201171875,False,0.4,1528985521,15639,0.0,215.0,3
47,0.42,0.41,0.0,REGULAR,SPY180921P00216000,USD,1537488000,0.26306889282226564,False,0.42,1529002523,2756,0.0,216.0,14
48,0.44,0.42,0.03999999,REGULAR,SPY180921P00217000,USD,1537488000,0.26099371826171874,False,0.47,1529072435,11736,9.302323,217.0,4
49,0.45,0.44,0.0,REGULAR,SPY180921P00218000,USD,1537488000,0.25794199096679693,False,0.46,1528987301,2420,0.0,218.0,56
50,0.47,0.45,0.0,REGULAR,SPY180921P00219000,USD,1537488000,0.25586681640625003,False,0.46,1529004904,3194,0.0,219.0,271
51,0.49,0.48,0.0,REGULAR,SPY180921P00220000,USD,1537488000,0.25354750366210943,False,0.48,1529087452,50036,0.0,220.0,29
52,0.51,0.49,0.04000002,REGULAR,SPY180921P00221000,USD,1537488000,0.2512281909179687,False,0.54,1529074531,2741,8.000004,221.0,24
53,0.52,0.51,0.0,REGULAR,SPY180921P00222000,USD,1537488000,0.24793232543945312,False,0.51,1529004903,3450,0.0,222.0,286
54,0.54,0.53,0.0,REGULAR,SPY180921P00223000,USD,1537488000,0.2456130126953125,False,0.53,1529004904,5676,0.0,223.0,164
55,0.56,0.55,0.0,REGULAR,SPY180921P00224000,USD,1537488000,0.2430495617675781,False,0.55,1529004904,1445,0.0,224.0,303
56,0.59,0.57,0.01999998,REGULAR,SPY180921P00225000,USD,1537488000,0.241218525390625,False,0.59,1529087656,17680,3.5087686,225.0,40
57,0.61,0.59,0.050000012,REGULAR,SPY180921P00226000,USD,1537488000,0.23853300537109373,False,0.63,1529074845,3809,8.620692,226.0,36
58,0.63,0.61,0.060000002,REGULAR,SPY180921P00227000,USD,1537488000,0.23584748535156247,False,0.67,1529074639,3534,9.836065,227.0,1
59,0.65,0.64,0.030000031,REGULAR,SPY180921P00228000,USD,1537488000,0.23303989624023438,False,0.67,1529075686,3864,4.687505,228.0,36
60,0.68,0.66,0.029999971,REGULAR,SPY180921P00229000,USD,1537488000,0.2309647216796875,False,0.69,1529091854,1924,4.54545,229.0,5
61,0.71,0.69,0.06999999,REGULAR,SPY180921P00230000,USD,1537488000,0.22876747802734376,False,0.76,1529076715,31848,10.144927,230.0,39
62,0.73,0.71,0.060000002,REGULAR,SPY180921P00231000,USD,1537488000,0.22571575073242187,False,0.77,1529074734,3772,8.450705,231.0,32
63,0.76,0.74,0.060000002,REGULAR,SPY180921P00232000,USD,1537488000,0.22339643798828124,False,0.8,1529074768,9987,8.1081085,232.0,32
64,0.79,0.77,0.0,REGULAR,SPY180921P00233000,USD,1537488000,0.22095505615234373,False,0.77,1529004904,3785,0.0,233.0,202
65,0.82,0.8,0.03999996,REGULAR,SPY180921P00234000,USD,1537488000,0.21839160522460935,False,0.84,1529082920,3564,4.999995,234.0,45
66,0.85,0.83,0.030000031,REGULAR,SPY180921P00235000,USD,1537488000,0.2157060852050781,False,0.86,1529090287,97718,3.614462,235.0,3859
