PERMNO,date,PRC,RETX,sprtrn
86580,20130102,12.72000,0.037520,0.025403
86580,20130103,12.73000,0.000786,-0.002086
86580,20130104,13.15000,0.032993,0.004865
86580,20130107,12.77000,-0.028897,-0.003123
86580,20130108,12.49150,-0.021809,-0.003242
86580,20130109,12.21000,-0.022535,0.002656
86580,20130110,12.23000,0.001638,0.007597
86580,20130111,12.21000,-0.001635,-0.000048
86580,20130114,12.20000,-0.000819,-0.000931
86580,20130115,11.98000,-0.018033,0.001129
86580,20130116,12.09000,0.009182,0.000197
86580,20130117,12.25000,0.013234,0.005643
86580,20130118,12.17000,-0.006531,0.003403
86580,20130122,12.11000,-0.004930,0.004428
86580,20130123,12.13000,0.001652,0.001507
86580,20130124,12.19000,0.004946,0.000007
86580,20130125,12.41000,0.018048,0.005445
86580,20130128,12.61000,0.016116,-0.001850
86580,20130129,12.34000,-0.021412,0.005106
86580,20130130,12.32000,-0.001621,-0.003900
86580,20130131,12.26000,-0.004870,-0.002563
86580,20130201,12.37000,0.008972,0.010053
86580,20130204,12.16000,-0.016977,-0.011539
86580,20130205,12.44000,0.023026,0.010416
86580,20130206,12.34000,-0.008039,0.000549
86580,20130207,12.29000,-0.004052,-0.001805
86580,20130208,12.37000,0.006509,0.005658
86580,20130211,12.51000,0.011318,-0.000606
86580,20130212,12.43000,-0.006395,0.001595
86580,20130213,12.37000,-0.004827,0.000592
86580,20130214,12.73000,0.029103,0.000691
86580,20130215,12.73100,0.000079,-0.001045
86580,20130219,12.55500,-0.013824,0.007337
86580,20130220,12.38000,-0.013939,-0.012404
86580,20130221,12.29000,-0.007270,-0.006303
86580,20130222,12.52000,0.018714,0.008773
86580,20130225,12.30000,-0.017572,-0.018310
86580,20130226,12.37000,0.005691,0.006109
86580,20130227,12.60000,0.018593,0.012726
86580,20130228,12.66000,0.004762,-0.000864
86580,20130301,12.71000,0.003949,0.002324
86580,20130304,12.65500,-0.004327,0.004611
86580,20130305,12.80000,0.011458,0.009566
86580,20130306,12.79000,-0.000781,0.001085
86580,20130307,12.76000,-0.002346,0.001816
86580,20130308,12.82000,0.004702,0.004481
86580,20130311,12.69500,-0.009750,0.003249
86580,20130312,12.74000,0.003545,-0.002403
86580,20130313,12.74000,0.000000,0.001314
86580,20130314,12.75000,0.000785,0.005603
86580,20130315,12.64000,-0.008627,-0.001618
86580,20130318,12.55000,-0.007120,-0.005510
86580,20130319,12.47000,-0.006374,-0.002423
86580,20130320,12.62000,0.012029,0.006697
86580,20130321,12.42000,-0.015848,-0.008282
86580,20130322,12.48000,0.004831,0.007174
86580,20130325,12.41000,-0.005609,-0.003340
86580,20130326,12.50000,0.007252,0.007785
86580,20130327,12.65000,0.012000,-0.000588
86580,20130328,12.83000,0.014229,0.004057
86580,20130401,12.41000,-0.032736,-0.004474
86580,20130402,12.27500,-0.010878,0.005172
86580,20130403,12.12600,-0.012138,-0.010546
86580,20130404,12.24500,0.009814,0.004048
86580,20130405,12.46000,0.017558,-0.004295
86580,20130408,12.43000,-0.002408,0.006303
86580,20130409,12.63000,0.016090,0.003544
86580,20130410,12.83000,0.015835,0.012189
86580,20130411,12.77000,-0.004676,0.003552
86580,20130412,13.09000,0.025059,-0.002837
86580,20130415,12.82000,-0.020626,-0.022966
86580,20130416,12.96000,0.010920,0.014307
86580,20130417,12.78500,-0.013503,-0.014328
86580,20130418,12.54000,-0.019163,-0.006701
86580,20130419,12.57000,0.002392,0.008848
86580,20130422,12.59000,0.001591,0.004662
86580,20130423,12.92000,0.026211,0.010419
