caldt,vwretd,totval,spindx
19971103,0.025821,7170799960.00,938.99
19971104,0.002083,7185658660.00,940.76
19971105,0.002565,7202972020.00,942.76
19971106,-0.005009,7166324370.00,938.03
19971107,-0.011187,7084583980.00,927.51
19971110,-0.006652,7036818310.00,921.13
19971111,0.002729,7056019780.00,923.78
19971112,-0.019238,6918660610.00,905.96
19971113,0.011920,7000607010.00,916.66
19971114,0.012970,7090978450.00,928.35
19971117,0.019165,7226649550.00,946.20
19971118,-0.008191,7166621030.00,938.23
19971119,0.007168,7216890760.00,944.59
19971120,0.014809,7323693160.00,958.98
19971121,0.004507,7356630550.00,963.09
19971124,-0.017142,7230313480.00,946.67
19971125,0.004727,7263685110.00,950.82
19971126,0.001122,7270642670.00,951.64
19971128,0.004269,7308394530.00,955.40
19971201,0.020090,7455069840.00,974.77
19971202,-0.003073,7431997150.00,971.68
19971203,0.005742,7472782750.00,976.77
19971204,-0.003563,7452820390.00,973.10
19971205,0.010500,7531015280.00,983.79
19971208,-0.001346,7520346380.00,982.37
19971209,-0.006633,7470459630.00,975.78
19971210,-0.006390,7422231580.00,969.79
19971211,-0.014978,7309065550.00,954.94
19971212,-0.001424,7298603060.00,953.39
19971215,0.010213,7373027360.00,963.39
19971216,0.004713,7407772800.00,968.04
19971217,-0.002771,7385156570.00,965.54
19971218,-0.010336,7303210530.00,955.30
19971219,-0.008689,7237106910.00,946.78
19971222,0.007326,7289982550.00,953.70
19971223,-0.015004,7180470010.00,939.12
19971224,-0.006794,7137300350.00,932.70
19971226,0.003854,7164289250.00,936.46
19971229,0.018165,7291188010.00,953.36
19971230,0.018351,7424304180.00,970.84
19971231,-0.000186,7440534250.00,970.43
19980102,0.004518,7472835640.00,975.04
19980105,0.002193,7489086720.00,977.07
19980106,-0.010539,7409791430.00,966.58
19980107,-0.002116,7392322630.00,964.00
19980108,-0.008259,7330916480.00,956.04
19980109,-0.029960,7111278610.00,927.69
19980112,0.012875,7195322450.00,939.21
19980113,0.014048,7296059030.00,952.12
19980114,0.005675,7337233220.00,957.94
19980115,-0.007518,7281800860.00,950.73
19980116,0.011632,7366506160.00,961.51
19980120,0.017591,7499510460.00,978.60
19980121,-0.007795,7440576280.00,970.81
19980122,-0.007931,7381535970.00,963.04
19980123,-0.005857,7338548740.00,957.58
19980126,-0.000157,7337396690.00,956.95
19980127,0.012279,7427502940.00,969.02
19980128,0.008979,7498879600.00,977.46
19980129,0.008483,7561919820.00,985.49
19980130,-0.004888,7545938650.00,980.28
19980202,0.020882,7703463740.00,1001.27
19980203,0.004818,7740168380.00,1005.99
19980204,0.000858,7745783750.00,1006.90
19980205,-0.002852,7722749990.00,1003.54
19980206,0.009199,7792368680.00,1012.46
19980209,-0.001577,7779529550.00,1010.74
19980210,0.008011,7841755550.00,1019.01
19980211,0.001319,7850364050.00,1020.01
19980212,0.004245,7882944680.00,1024.14
19980213,-0.003866,7852271890.00,1020.09
19980217,0.002765,7873582590.00,1022.76
19980218,0.009197,7944072620.00,1032.08
19980219,-0.003356,7917170060.00,1028.28
19980220,0.005446,7960196660.00,1034.21
19980223,0.004284,7991808180.00,1038.14
19980224,-0.007520,7931695600.00,1030.56
19980225,0.012074,8026365050.00,1042.90
19980226,0.005442,8069035420.00,1048.67
19980227,0.000589,8078896740.00,1049.34
19980302,-0.001870,8063616670.00,1047.70
19980303,0.004268,8097975530.00,1052.02
19980304,-0.005473,8051831480.00,1047.33
19980305,-0.010292,7967835010.00,1035.04
19980306,0.019644,8123639600.00,1055.69
19980309,-0.002448,8103663680.00,1052.31
19980310,0.011184,8194177480.00,1064.25
19980311,0.004407,8228718700.00,1068.47
19980312,0.001391,8238852940.00,1069.92
19980313,-0.001226,8228632580.00,1068.61
19980316,0.009753,8308772970.00,1079.27
19980317,0.001354,8320020760.00,1080.45
19980318,0.004934,8360681280.00,1085.52
19980319,0.003714,8391436380.00,1089.74
19980320,0.008338,8461344320.00,1099.16
19980323,-0.003597,8425491560.00,1095.55
19980324,0.009460,8505158980.00,1105.65
19980325,-0.003185,8477926510.00,1101.92
19980326,-0.000970,8469687390.00,1100.80
19980327,-0.004648,8434355970.00,1095.44
19980330,-0.001865,8418524250.00,1093.55
19980331,0.007746,8498184000.00,1101.75
19980401,0.005887,8554503020.00,1108.15
19980402,0.010418,8643282170.00,1120.01
19980403,0.002495,8665211060.00,1122.70
19980406,-0.001359,8653368990.00,1121.39
19980407,-0.009944,8564759400.00,1109.55
19980408,-0.006872,8486291430.00,1101.65
19980409,0.008094,8554850110.00,1110.67
19980413,-0.000650,8548799280.00,1109.69
19980414,0.005669,8597256540.00,1115.75
19980415,0.002963,8622675440.00,1119.32
19980416,-0.009606,8539688170.00,1108.17
19980417,0.013114,8651593720.00,1122.72
19980420,0.001157,8661600020.00,1123.65
19980421,0.002485,8683108700.00,1126.67
19980422,0.004338,8719920500.00,1130.54
19980423,-0.010282,8630149250.00,1119.58
19980424,-0.010214,8543387540.00,1107.90
19980427,-0.019385,8384346770.00,1086.54
19980428,-0.001370,8352191880.00,1085.11
19980429,0.008890,8438717120.00,1094.62
19980430,0.016062,8580996930.00,1111.75
19980501,0.007466,8643408080.00,1121.00
19980504,0.001388,8655406200.00,1122.07
19980505,-0.005737,8605574750.00,1115.50
19980506,-0.009190,8524440060.00,1104.92
19980507,-0.008819,8449032040.00,1095.14
19980508,0.011918,8549763290.00,1108.14
19980511,-0.000927,8538634910.00,1106.64
19980512,0.008099,8607413380.00,1115.79
19980513,0.003158,8632919820.00,1118.86
19980514,-0.001603,8618894460.00,1117.37
19980515,-0.007849,8550873680.00,1108.73
19980518,-0.002474,8528736760.00,1105.82
19980519,0.003721,8560417990.00,1109.52
19980520,0.008390,8631089530.00,1119.06
19980521,-0.003775,8598468680.00,1114.64
