ticker,time_stamp,open,high,low,close,volumn,NR,average,,
INTC,930,18.51,18.55,18.51,18.55,1079160,816,18.5226,7,
INTC,931,18.55,18.57,18.53,18.55,382424,623,18.549,2,
INTC,932,18.56,18.56,18.45,18.46,460394,698,18.5053,3,
INTC,933,18.45,18.5,18.41,18.49,376212,577,18.4632,3,
INTC,934,18.5,18.53,18.48,18.52,323147,347,18.506,3,
INTC,935,18.52,18.53,18.5,18.51,339957,415,18.5079,2,
INTC,936,18.5,18.56,18.5,18.56,444508,451,18.5409,5,
INTC,937,18.57,18.6,18.54,18.6,397936,367,18.5698,3,
INTC,938,18.59,18.64,18.59,18.59,552970,534,18.6102,5,
INTC,939,18.59,18.61,18.58,18.58,430113,541,18.5965,3,
INTC,940,18.58,18.59,18.55,18.56,457409,549,18.5659,2,
INTC,941,18.55,18.56,18.51,18.52,305287,333,18.5424,4,
INTC,942,18.52,18.55,18.52,18.52,166640,179,18.5289,2,
INTC,943,18.52,18.52,18.47,18.48,348453,530,18.493,1,
INTC,944,18.48,18.53,18.43,18.43,500917,529,18.4673,5,
INTC,945,18.44,18.47,18.43,18.47,197974,355,18.4492,0,
INTC,946,18.46,18.49,18.46,18.48,148004,230,18.4711,0,
INTC,947,18.48,18.49,18.45,18.45,183575,222,18.4734,1,
INTC,948,18.45,18.46,18.44,18.46,121128,168,18.4514,0,
INTC,949,18.45,18.49,18.45,18.49,120030,180,18.4779,0,
INTC,950,18.49,18.51,18.49,18.5,100640,149,18.5049,0,
INTC,951,18.5,18.51,18.48,18.5,169789,275,18.4904,2,
INTC,952,18.5,18.5,18.48,18.49,153425,268,18.4893,0,
INTC,953,18.49,18.52,18.49,18.51,63943,108,18.5068,0,
INTC,954,18.51,18.52,18.51,18.51,33265,68,18.5171,0,
INTC,955,18.51,18.52,18.5,18.5,69108,104,18.5126,1,
INTC,956,18.5,18.51,18.47,18.48,98031,172,18.4871,0,
INTC,957,18.47,18.49,18.47,18.48,84857,101,18.4807,1,
INTC,958,18.48,18.48,18.46,18.48,124082,152,18.472,2,
INTC,959,18.48,18.52,18.47,18.52,245395,281,18.4892,4,
INTC,1000,18.51,18.52,18.5,18.5,139184,198,18.5035,1,
INTC,1001,18.5,18.51,18.48,18.49,144868,180,18.497,1,
INTC,1002,18.49,18.51,18.47,18.48,89028,139,18.4894,0,
INTC,1003,18.48,18.5,18.47,18.5,90499,136,18.4837,0,
INTC,1004,18.5,18.51,18.49,18.5,150710,210,18.5058,1,
INTC,1005,18.51,18.54,18.51,18.53,120046,163,18.5262,0,
INTC,1006,18.54,18.54,18.51,18.54,265856,338,18.5239,2,
INTC,1007,18.54,18.55,18.54,18.55,89059,160,18.5462,0,
INTC,1008,18.55,18.57,18.54,18.55,270161,353,18.5592,1,
INTC,1009,18.55,18.56,18.54,18.55,65539,110,18.5512,0,
INTC,1010,18.54,18.55,18.54,18.55,71681,113,18.5462,0,
INTC,1011,18.55,18.56,18.52,18.53,243932,353,18.5416,1,
INTC,1012,18.53,18.54,18.53,18.54,112816,152,18.5326,0,
INTC,1013,18.53,18.54,18.53,18.54,34880,71,18.5333,0,
INTC,1014,18.54,18.54,18.52,18.52,106292,209,18.5275,0,
INTC,1015,18.52,18.52,18.51,18.51,136344,171,18.5125,1,
INTC,1016,18.51,18.52,18.48,18.49,165012,258,18.4973,0,
INTC,1017,18.49,18.49,18.45,18.45,274788,417,18.4683,0,
INTC,1018,18.45,18.48,18.45,18.46,269301,403,18.4672,2,
INTC,1019,18.46,18.49,18.45,18.47,176996,319,18.4751,1,
INTC,1020,18.47,18.49,18.47,18.48,219414,180,18.482,2,
INTC,1021,18.48,18.48,18.47,18.48,28111,66,18.4758,0,
INTC,1022,18.48,18.48,18.46,18.47,253142,336,18.4663,0,
INTC,1023,18.46,18.47,18.46,18.46,46176,99,18.4624,0,
INTC,1024,18.46,18.46,18.43,18.44,159098,242,18.4471,0,
INTC,1025,18.43,18.43,18.41,18.42,349984,450,18.4234,3,
INTC,1026,18.42,18.45,18.42,18.45,348292,440,18.4338,2,
INTC,1027,18.45,18.46,18.44,18.44,145755,228,18.4507,0,
INTC,1028,18.44,18.45,18.44,18.45,43929,76,18.4464,0,
INTC,1029,18.45,18.47,18.44,18.46,133685,201,18.4563,1,
INTC,1030,18.46,18.46,18.45,18.46,28636,56,18.4575,0,
INTC,1031,18.46,18.49,18.46,18.49,167211,293,18.4719,0,
INTC,1032,18.49,18.49,18.46,18.46,58519,94,18.4801,0,
INTC,1033,18.46,18.48,18.46,18.47,132008,205,18.4745,1,
INTC,1034,18.48,18.48,18.44,18.44,182660,244,18.4547,1,
INTC,1035,18.44,18.44,18.43,18.44,115656,162,18.4336,2,
INTC,1036,18.43,18.45,18.43,18.45,130994,162,18.4399,0,
INTC,1037,18.44,18.45,18.44,18.44,66379,100,18.443,0,
INTC,1038,18.44,18.47,18.43,18.47,173567,257,18.4488,0,
INTC,1039,18.47,18.48,18.46,18.47,122129,202,18.4702,0,
INTC,1040,18.46,18.47,18.46,18.47,7615,24,18.4629,0,
INTC,1041,18.47,18.47,18.46,18.47,131265,204,18.4658,1,
INTC,1042,18.46,18.47,18.46,18.47,25900,42,18.4694,0,
INTC,1043,18.47,18.47,18.46,18.46,29500,65,18.4656,0,
INTC,1044,18.47,18.47,18.45,18.46,88004,174,18.4553,0,
INTC,1045,18.45,18.49,18.45,18.49,224623,340,18.467,1,
INTC,1046,18.49,18.49,18.48,18.48,39663,68,18.4849,0,
INTC,1047,18.48,18.49,18.48,18.48,18407,36,18.4812,0,
INTC,1048,18.48,18.49,18.48,18.48,22905,41,18.482,0,
