PERMNO,date,PRC,RETX,sprtrn
86580,20150102,20.13000,0.003990,-0.000340
86580,20150105,19.79000,-0.016890,-0.018278
86580,20150106,19.19000,-0.030318,-0.008893
86580,20150107,19.13500,-0.002866,0.011630
86580,20150108,19.86000,0.037889,0.017888
86580,20150109,19.94000,0.004028,-0.008404
86580,20150112,19.69000,-0.012538,-0.008094
86580,20150113,19.65500,-0.001778,-0.002579
86580,20150114,19.74000,0.004325,-0.005813
86580,20150115,19.60000,-0.007092,-0.009248
86580,20150116,19.96000,0.018367,0.013424
86580,20150120,20.02000,0.003006,0.001550
86580,20150121,20.30000,0.013986,0.004732
86580,20150122,20.65000,0.017241,0.015270
86580,20150123,20.71000,0.002906,-0.005492
86580,20150126,20.61500,-0.004587,0.002568
86580,20150127,19.63000,-0.047781,-0.013388
86580,20150128,19.31000,-0.016302,-0.013496
86580,20150129,19.78000,0.024340,0.009535
86580,20150130,19.20500,-0.029070,-0.012992
86580,20150202,19.62000,0.021609,0.012962
86580,20150203,20.11000,0.024975,0.014439
86580,20150204,20.16000,0.002486,-0.004156
86580,20150205,20.48500,0.016121,0.010291
86580,20150206,20.40000,-0.004149,-0.003418
86580,20150209,20.38000,-0.000980,-0.004247
86580,20150210,20.95000,0.027969,0.010676
86580,20150211,20.81000,-0.006683,-0.000029
86580,20150212,22.30000,0.071600,0.009645
86580,20150213,22.31000,0.000448,0.004075
86580,20150217,22.37500,0.002914,0.001598
86580,20150218,22.12000,-0.011397,-0.000314
86580,20150219,22.17500,0.002486,-0.001062
86580,20150220,22.33500,0.007215,0.006126
86580,20150223,22.16000,-0.007835,-0.000303
86580,20150224,22.31000,0.006769,0.002759
86580,20150225,22.14000,-0.007620,-0.000766
86580,20150226,22.20000,0.002710,-0.001476
86580,20150227,22.06000,-0.006306,-0.002956
86580,20150302,22.59500,0.024252,0.006125
86580,20150303,22.18000,-0.018367,-0.004539
86580,20150304,22.43000,0.011271,-0.004389
86580,20150305,22.86000,0.019171,0.001196
86580,20150306,22.55000,-0.013561,-0.014174
86580,20150309,22.61000,0.002661,0.003944
86580,20150310,22.99500,0.017028,-0.016961
86580,20150311,22.88000,-0.005001,-0.001918
86580,20150312,22.67000,-0.009178,0.012601
86580,20150313,22.70000,0.001323,-0.006075
86580,20150316,22.97000,0.011894,0.013534
86580,20150317,23.25000,0.012190,-0.003320
86580,20150318,22.87000,-0.016344,0.012158
86580,20150319,23.21500,0.015085,-0.004873
86580,20150320,23.47000,0.010984,0.009013
86580,20150323,22.71000,-0.032382,-0.001746
86580,20150324,22.40000,-0.013650,-0.006139
86580,20150325,21.04000,-0.060714,-0.014559
86580,20150326,20.96500,-0.003565,-0.002377
86580,20150327,21.38000,0.019795,0.002369
86580,20150330,21.47000,0.004210,0.012237
86580,20150331,20.92500,-0.025384,-0.008796
86580,20150401,21.01000,0.004062,-0.003965
86580,20150402,21.06000,0.002380,0.003530
86580,20150406,21.66500,0.028728,0.006609
86580,20150407,21.86000,0.009001,-0.002062
86580,20150408,22.02000,0.007319,0.002683
86580,20150409,22.52500,0.022934,0.004457
86580,20150410,22.76000,0.010433,0.005203
86580,20150413,22.55000,-0.009227,-0.004581
86580,20150414,22.36000,-0.008426,0.001630
86580,20150415,22.63000,0.012075,0.005148
86580,20150416,22.49000,-0.006186,-0.000778
86580,20150417,22.20000,-0.012895,-0.011311
86580,20150420,22.09000,-0.004955,0.009235
86580,20150421,22.05500,-0.001584,-0.001481
86580,20150422,22.31000,0.011562,0.005088
86580,20150423,22.22000,-0.004034,0.002358
86580,20150424,22.03000,-0.008551,0.002253
86580,20150427,22.20000,0.007717,-0.004141
86580,20150428,22.30500,0.004730,0.002769
86580,20150429,22.14000,-0.007397,-0.003740
86580,20150430,22.19500,0.002484,-0.010129
86580,20150501,22.75000,0.025006,0.010923
86580,20150504,22.61000,-0.006154,0.002941
86580,20150505,22.03000,-0.025652,-0.011837
