,OptStrike,OptPutCall,OptBid,OptAsk,OptExpDate,OptName,Unnamed: 6,Unnamed: 7,Unnamed: 8,Spot,139.78
0,45.0,Call,94.55,95.05,2017-03-17,AAPL US 03/17/17 C45 Equity,,,,Date,2017-03-03
1,47.5,Call,92.05,92.55,2017-03-17,AAPL US 03/17/17 C47.5 Equity,,,,,
2,50.0,Call,89.55,90.05,2017-03-17,AAPL US 03/17/17 C50 Equity,,,,,
3,55.0,Call,84.55,85.05,2017-03-17,AAPL US 03/17/17 C55 Equity,,,,,
4,60.0,Call,79.55,80.05,2017-03-17,AAPL US 03/17/17 C60 Equity,,,,,
5,65.0,Call,74.55,75.05,2017-03-17,AAPL US 03/17/17 C65 Equity,,,,,
6,70.0,Call,69.55,70.05,2017-03-17,AAPL US 03/17/17 C70 Equity,,,,,
7,75.0,Call,64.55,65.05,2017-03-17,AAPL US 03/17/17 C75 Equity,,,,,
8,80.0,Call,59.55,60.05,2017-03-17,AAPL US 03/17/17 C80 Equity,,,,,
9,82.5,Call,57.05,57.55,2017-03-17,AAPL US 03/17/17 C82.5 Equity,,,,,
10,85.0,Call,54.55,55.05,2017-03-17,AAPL US 03/17/17 C85 Equity,,,,,
11,87.5,Call,52.05,52.55,2017-03-17,AAPL US 03/17/17 C87.5 Equity,,,,,
12,90.0,Call,49.55,50.05,2017-03-17,AAPL US 03/17/17 C90 Equity,,,,,
13,92.5,Call,47.05,47.55,2017-03-17,AAPL US 03/17/17 C92.5 Equity,,,,,
14,93.0,Call,46.55,47.05,2017-03-17,AAPL US 03/17/17 C93 Equity,,,,,
15,94.0,Call,45.55,46.05,2017-03-17,AAPL US 03/17/17 C94 Equity,,,,,
16,95.0,Call,44.55,45.05,2017-03-17,AAPL US 03/17/17 C95 Equity,,,,,
17,96.0,Call,43.55,44.05,2017-03-17,AAPL US 03/17/17 C96 Equity,,,,,
18,97.0,Call,42.55,43.05,2017-03-17,AAPL US 03/17/17 C97 Equity,,,,,
19,97.5,Call,42.05,42.55,2017-03-17,AAPL US 03/17/17 C97.5 Equity,,,,,
20,98.0,Call,41.55,42.05,2017-03-17,AAPL US 03/17/17 C98 Equity,,,,,
21,98.5,Call,41.05,41.55,2017-03-17,AAPL US 03/17/17 C98.5 Equity,,,,,
22,99.0,Call,40.55,41.05,2017-03-17,AAPL US 03/17/17 C99 Equity,,,,,
23,99.5,Call,40.05,40.55,2017-03-17,AAPL US 03/17/17 C99.5 Equity,,,,,
24,100.0,Call,39.6,39.9,2017-03-17,AAPL US 03/17/17 C100 Equity,,,,,
25,101.0,Call,38.55,39.05,2017-03-17,AAPL US 03/17/17 C101 Equity,,,,,
26,102.0,Call,37.6,38.05,2017-03-17,AAPL US 03/17/17 C102 Equity,,,,,
27,103.0,Call,36.6,37.05,2017-03-17,AAPL US 03/17/17 C103 Equity,,,,,
28,104.0,Call,35.6,36.05,2017-03-17,AAPL US 03/17/17 C104 Equity,,,,,
29,105.0,Call,34.6,35.05,2017-03-17,AAPL US 03/17/17 C105 Equity,,,,,
30,106.0,Call,33.6,34.05,2017-03-17,AAPL US 03/17/17 C106 Equity,,,,,
31,107.0,Call,32.6,33.05,2017-03-17,AAPL US 03/17/17 C107 Equity,,,,,
32,108.0,Call,31.6,32.05,2017-03-17,AAPL US 03/17/17 C108 Equity,,,,,
33,109.0,Call,30.6,31.05,2017-03-17,AAPL US 03/17/17 C109 Equity,,,,,
34,110.0,Call,29.6,29.95,2017-03-17,AAPL US 03/17/17 C110 Equity,,,,,
35,111.0,Call,28.6,29.05,2017-03-17,AAPL US 03/17/17 C111 Equity,,,,,
36,112.0,Call,27.6,27.95,2017-03-17,AAPL US 03/17/17 C112 Equity,,,,,
