Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 61.02, 3.04,5.24, 10107139, 2.0,
ADBE, Adobe Systems Incorporated, 145.91, 2.98,2.08, 1812071, 1.3,
AKAM, Akamai Technologies Inc., 50.55, 0.72,1.44, 1508855, .1,
ALXN, Alexion Pharmaceuticals Inc., 124.94, 0.62,0.5, 1357633, .1,
GOOG, Alphabet Inc., 943.83, 13.74,1.48, 1532144, 4.2,
GOOGL, Alphabet Inc., 967.66, 14.13,1.48, 1602115, 3.7,
AMZN, Amazon.com Inc., 1006.51, 12.38,1.25, 3608574, 5.2,
AAL, American Airlines Group Inc., 53.8, 2.19,4.24, 8348363, .9,
AMGN, Amgen Inc., 173.27, -0.05,-0.03, 1976853, .0,
ADI, Analog Devices Inc., 80.37, 0.51,0.64, 2591449, .2,
AAPL, Apple Inc., 145.74, 0.21,0.14, 24884478, 1.0,
AMAT, Applied Materials Inc., 45.28, -0.12,-0.26, 10395825, -.1,
ADSK, Autodesk Inc., 106.68, 2.38,2.28, 2621915, .5,
ADP, Automatic Data Processing Inc., 102.5, 0.66,0.65, 3086237, .3,
BIDU, Baidu Inc., 186.76, 2.35,1.27, 1897141, .6,
BIIB, Biogen Inc., 275.08, 3.32,1.22, 1406511, .6,
BMRN, BioMarin Pharmaceutical Inc., 89.57, -1.35,-1.48, 1404484, -.2,
AVGO, Broadcom Limited, 246.42, 5.53,2.3, 2771047, 1.9,
CA, CA Inc., 34.32, 0.01,0.03, 2645642, .0,
CELG, Celgene Corporation, 133.56, 1.31,0.99, 2364464, .9,
CERN, Cerner Corporation, 65.71, 0.4,0.61, 1202788, .1,
CHTR, Charter Communications Inc., 342.65, 4.8,1.42, 1071590, 1.1,
CHKP, Check Point Software Technologies Ltd., 114.49, 1.46,1.29, 872070, .2,
CTAS, Cintas Corporation, 127.16, 1.33,1.06, 309057, .1,
CSCO, Cisco Systems Inc., 31.16, 0.07,0.23, 18586175, .3,
CTXS, Citrix Systems Inc., 80.43, 1.87,2.38, 1135618, .3,
CTSH, Cognizant Technology Solutions Corporation, 68.13, 0.53,0.78, 3177122, .3,
CMCSA, Comcast Corporation, 39.02, 0.25,0.64, 13415524, 1.0,
COST, Costco Wholesale Corporation, 151.75, 0.64,0.42, 5112183, .3,
CSX, CSX Corporation, 55.19, 1.05,1.94, 4355541, .9,
CTRP, Ctrip.com International Ltd., 55.98, 1.14,2.08, 2482474, .4,
XRAY, DENTSPLY SIRONA Inc., 64.4, 0.3,0.47, 1038880, .1,
DISCA, Discovery Communications Inc., 26.17, -0.03,-0.11, 1211975, .0,
DISCK, Discovery Communications Inc., 25.49, 0.01,0.04, 928106, .0,
DISH, DISH Network Corporation, 65.19, 0.41,0.63, 1615205, .1,
DLTR, Dollar Tree Inc., 67.4, 0.53,0.79, 1498551, .1,
EBAY, eBay Inc., 36.03, 0.84,2.39, 13437512, .8,
EA, Electronic Arts Inc., 110.68, 2.26,2.08, 1944236, .6,
EXPE, Expedia Inc., 152.34, 2.4,1.6, 1470098, .3,
ESRX, Express Scripts Holding Company, 62.12, 0.56,0.91, 2748714, .3,
FB, Facebook Inc., 158.9, 3.63,2.34, 22739388, 7.5,
FAST, Fastenal Company, 42.72, -0.87,-2, 18096035, -.2,
FISV, Fiserv Inc., 123.44, 1.41,1.16, 644777, .3,
GILD, Gilead Sciences Inc., 69.8, 0.45,0.65, 5585245, .5,
HAS, Hasbro Inc., 112.97, 0.67,0.6, 414712, .1,
HSIC, Henry Schein Inc., 183.17, 2.49,1.38, 249793, .2,
HOLX, Hologic Inc., 45.16, 0.68,1.53, 2065013, .2,
IDXX, IDEXX Laboratories Inc., 164.63, 2.91,1.8, 570837, .2,
ILMN, Illumina Inc., 173.23, 0.08,0.05, 781833, .0,
INCY, Incyte Corporation, 133.22, 1.3,0.99, 796705, .2,
INTC, Intel Corporation, 34.25, 0.33,0.97, 23768337, 1.4,
INTU, Intuit Inc., 133.48, 1.12,0.85, 1328864, .3,
ISRG, Intuitive Surgical Inc., 948.34, 5.85,0.62, 274290, .2,
JBHT, J.B. Hunt Transport Services Inc., 91.95, 0.48,0.52, 583061, .1,
JD, JD.com Inc., 41.44, 0.63,1.54, 8126156, .5,
KLAC, KLA-Tencor Corporation, 97.7, 0.77,0.79, 753381, .1,
LRCX, Lam Research Corporation, 154.58, 0.86,0.56, 1782748, .1,
LBTYA, Liberty Global plc, 31.92, 0.5,1.59, 3931932, .1,
LBTYK, Liberty Global plc, 31.12, 0.53,1.73, 1691957, .3,
LILA, Liberty Global plc, 24.7, -0.28,-1.12, 533705, .0,
LILAK, Liberty Global plc, 24.65, -0.18,-0.72, 1404268, .0,
LVNTA, Liberty Interactive Corporation, 53.86, 0.92,1.74, 789214, .1,
QVCA, Liberty Interactive Corporation, 23.18, -0.18,-0.77, 2994684, -.1,
MAR, Marriott International, 100.8, 0.07,0.07, 1776851, .0,
MAT, Mattel Inc., 20.88, 0,0, 2886803, .0,
MXIM, Maxim Integrated Products Inc., 46.7, 0.54,1.17, 2047552, .1,
MELI, MercadoLibre Inc., 274.35, 11.94,4.55, 805060, .5,
MCHP, Microchip Technology Incorporated, 80.16, 1.05,1.33, 3132131, .2,
MU, Micron Technology Inc., 31.45, 0.08,0.26, 22258626, .1,
MSFT, Microsoft Corporation, 71.15, 1.16,1.66, 17750925, 7.8,
MDLZ, Mondelez International Inc., 43.24, 0.25,0.58, 5370961, .3,
MNST, Monster Beverage Corporation, 50.42, 0.44,0.88, 1285113, .2,
MYL, Mylan N.V., 38.58, 0.93,2.47, 3249508, .4,
NTES, NetEase Inc., 314.46, 5.82,1.89, 1073364, .4,
NFLX, Netflix Inc., 158.75, 4.42,2.86, 8481779, 1.7,
NCLH, Norwegian Cruise Line Holdings Ltd., 54.09, 0.13,0.24, 1178296, .0,
NVDA, NVIDIA Corporation, 162.51, 6.63,4.25, 28630213, 3.4,
ORLY, O'Reilly Automotive Inc., 177.1, 3,1.72, 2972956, .2,
PCAR, PACCAR Inc., 68.52, 0,0, 1380375, .0,
PAYX, Paychex Inc., 57.24, 0.64,1.13, 1849958, .2,
PYPL, PayPal Holdings Inc., 56.55, 1.79,3.27, 17490783, 1.9,
QCOM, QUALCOMM Incorporated, 56.2, 0.87,1.57, 6126846, 1.1,
REGN, Regeneron Pharmaceuticals Inc., 496.99, 4.99,1.01, 576678, .5,
ROST, Ross Stores Inc., 54.13, -0.21,-0.39, 4363932, -.1,
STX, Seagate Technology PLC, 39.7, 0.98,2.53, 4980209, .3,
SHPG, Shire plc, 164.34, 2.43,1.5, 1122222, .2,
SIRI, Sirius XM Holdings Inc., 5.405, 0.015,0.28, 17006511, .1,
SWKS, Skyworks Solutions Inc., 101.73, 1,0.99, 1605743, .2,
SBUX, Starbucks Corporation, 58.54, 0.64,1.11, 7141916, .8,
SYMC, Symantec Corporation, 29.92, 0.91,3.14, 8388488, .5,
TMUS, T-Mobile US Inc., 61.51, 0.28,0.46, 3055147, .2,
TSLA, Tesla Inc., 329.52, 2.3,0.7, 10346127, .3,
TXN, Texas Instruments Incorporated, 80.52, 1.48,1.87, 3891673, 1.3,
KHC, The Kraft Heinz Company, 84.7, 0.95,1.13, 4026384, 1.0,
PCLN, The Priceline Group Inc., 1946.18, 17.03,0.88, 345043, .7,
TSCO, Tractor Supply Company, 49.99, -0.06,-0.12, 2487428, .0,
FOX, Twenty-First Century Fox Inc., 28.31, 0.59,2.13, 2353927, .4,
FOXA, Twenty-First Century Fox Inc., 28.65, 0.55,1.96, 8781754, .5,
ULTA, Ulta Beauty Inc., 261.86, 5.88,2.3, 1909113, .3,
VRSK, Verisk Analytics Inc., 84.55, 1.07,1.28, 601911, .2,
VRTX, Vertex Pharmaceuticals Incorporated, 131.44, -0.73,-0.55, 1288462, -.2,
VIAB, Viacom Inc., 34.5, 0.36,1.05, 3438732, .1,
VOD, Vodafone Group Plc, 28.9, 0.53,1.87, 3601243, .2,
WBA, Walgreens Boots Alliance Inc., 77.52, 0.23,0.3, 4266555, .2,
WDC, Western Digital Corporation, 94.13, 2.38,2.59, 5555154, .6,
WYNN, Wynn Resorts Limited, 135.27, 0.98,0.73, 1183371, .1,
XLNX, Xilinx Inc., 68.28, 0.73,1.08, 1627197, .2,
