PE_growth_PL,contrarian_DD,growth_value_JO,growth_value_MZ,momentum_strategy_V,price_sale_KF,small_cap_growth_MF,symbol,value_BG
0,50,80,77,71,30,48,googl,57
0,57,40,62,7,30,19,alxn,43
0,50,40,69,71,10,61,adi,57
0,43,80,62,64,10,39,aapl,29
0,21,25,15,57,0,35,adsk,14
72,50,60,69,57,20,21,amgn,71
,,,,,,,goog,
0,57,40,54,50,30,25,adp,57
0,43,60,62,71,10,48,atvi,29
0,76,50,54,0,50,12,bbby,86
0,50,40,62,71,40,48,adbe,29
0,50,40,85,64,30,19,cern,57
74,64,60,77,89,20,68,amat,43
0,29,25,8,50,20,1,bmrn,57
0,36,40,23,7,10,15,bidu,43
0,50,80,54,64,38,25,cmcsa,43
0,43,50,77,71,30,35,chkp,43
0,36,40,46,43,20,41,avgo,29
0,64,60,54,64,10,15,celg,57
0,50,40,46,57,38,19,ctsh,57
0,29,40,38,50,30,19,ca,29
0,43,100,31,29,10,28,csco,57
93,76,60,62,71,40,61,ebay,43
,,,,,,,disck,
0,43,40,54,57,20,48,ctxs,29
0,36,25,38,43,20,8,ctrp,29
0,36,60,62,50,20,52,csx,43
0,50,40,69,43,40,12,fast,71
74,61,75,69,0,60,32,esrx,43
0,21,40,23,14,38,15,expe,43
0,21,60,23,50,50,35,jd,29
0,57,40,38,14,38,25,dish,57
56,57,60,54,0,20,28,gild,86
0,43,40,46,64,10,19,intu,29
0,29,25,15,14,30,55,incy,57
0,50,75,69,64,30,12,hsic,57
,,,,,,,lbtyk,
0,36,100,62,64,58,15,intc,29
0,21,50,15,0,50,8,endp,29
56,57,60,85,89,40,35,fb,43
0,43,50,31,0,50,12,qvca,43
91,64,40,62,89,20,52,ilmn,57
0,57,60,38,21,38,21,lbtya,29
0,50,40,85,71,30,65,isrg,71
0,43,50,46,0,40,12,mat,29
0,57,40,54,43,10,15,mxim,43
93,57,40,69,89,40,75,lrcx,57
91,64,50,77,89,60,81,ntes,71
19,36,60,54,50,18,41,mu,14
0,21,40,46,7,38,15,mdlz,43
0,21,25,23,50,20,47,batra,14
,,,,,,,lmck,
0,43,80,62,71,10,48,msft,57
69,50,50,54,57,48,25,orly,43
0,57,50,69,36,60,39,mnst,71
,,,,,,,lltc,
0,50,40,62,71,30,41,nflx,43
0,50,50,62,14,20,19,pcar,29
0,43,50,69,50,50,32,payx,57
0,43,60,38,0,30,21,qcom,29
74,36,40,62,71,48,28,nclh,29
0,57,50,62,7,50,55,stx,29
69,64,60,77,71,20,61,nvda,43
0,43,50,62,43,58,32,rost,57
0,43,40,69,14,18,15,myl,29
,,,,,,,batrk,
0,43,40,69,36,38,52,ntap,43
0,29,60,46,43,30,32,khc,29
93,43,50,77,57,40,55,swks,57
0,43,40,31,36,20,15,nxpi,29
0,29,40,31,50,30,15,sbac,29
0,64,40,54,71,30,35,pcln,43
0,21,40,15,57,20,41,tsla,29
0,43,40,38,0,38,12,srcl,43
0,57,40,62,7,40,32,vrsk,29
91,50,60,85,71,40,59,txn,57
0,43,25,38,0,50,21,trip,71
0,50,40,54,71,30,32,regn,57
0,50,25,38,57,30,48,vrtx,57
0,50,60,69,36,50,35,pypl,43
56,57,100,62,64,50,52,tmus,29
56,64,50,85,71,60,59,ulta,71
,,,,,,,fox,
0,57,60,54,43,38,21,foxa,57
