contrarian,growth_slash_value1,growth_slash_value2,momentum_strategy,p_slash_e,price_slash_sales,small_cap_growth,symbol,value
57,40,62,71,0,30,25,adp,57
69,60,38,36,0,50,15,aal,43
50,80,62,36,0,10,52,aapl,29
57,40,62,14,0,30,25,akam,57
43,60,31,7,0,10,15,bidu,57
21,25,15,57,0,0,21,adsk,14
,,,,,,,goog,
36,40,46,36,0,20,41,avgo,29
50,40,62,71,0,40,48,adbe,29
43,60,69,71,72,20,21,amgn,71
76,50,54,0,0,50,12,bbby,86
57,50,77,71,0,30,35,chkp,43
43,40,54,7,0,30,19,alxn,43
50,40,46,43,0,38,19,ctsh,57
29,60,38,36,0,40,12,cost,43
43,40,38,57,0,30,48,chtr,29
50,50,46,50,91,20,25,biib,57
57,40,69,71,0,20,55,ctxs,29
57,60,38,29,0,10,15,celg,57
43,60,62,71,0,10,61,atvi,29
36,25,38,43,0,20,8,ctrp,29
64,40,69,71,0,38,25,disca,43
29,40,38,36,0,30,19,ca,29
,,,,,,,disck,
43,100,31,29,0,10,28,csco,57
57,80,69,50,0,30,21,googl,57
43,60,62,50,0,20,52,csx,43
76,60,62,71,93,40,61,ebay,43
29,25,8,50,0,20,1,bmrn,57
29,40,46,7,0,38,15,expe,43
57,40,54,50,0,38,25,dish,43
64,60,92,89,37,40,35,fb,43
50,40,69,71,0,10,61,adi,57
50,40,23,50,74,40,61,ea,29
57,50,77,50,0,50,19,dltr,43
50,50,62,71,0,20,19,fisv,29
21,50,15,0,0,50,8,endp,29
57,40,69,89,93,40,68,lrcx,57
50,25,23,36,0,10,48,incy,57
50,75,69,64,0,30,12,hsic,57
57,60,38,29,0,38,21,lbtya,29
21,60,23,43,0,40,15,jd,29
76,75,77,14,74,60,32,esrx,43
36,60,54,89,0,40,45,amzn,29
50,40,85,71,0,30,39,isrg,71
,,,,,,,lmca,
57,40,62,71,56,40,65,lvnta,29
69,60,46,0,56,28,28,gild,71
43,40,46,50,0,10,19,intu,29
21,25,23,57,0,20,33,batra,14
50,100,54,36,0,58,15,intc,29
36,40,46,43,0,48,52,mar,43
43,50,31,0,0,50,12,qvca,43
,,,,,,,batrk,
50,80,54,71,0,38,25,cmcsa,43
57,40,69,71,0,10,15,mxim,43
50,40,38,0,0,28,12,mat,29
50,40,69,43,0,40,12,fast,71
,,,,,,,lltc,
21,40,46,7,0,38,15,mdlz,43
64,50,77,100,91,60,81,ntes,71
43,40,69,50,0,38,52,ntap,43
57,80,62,64,0,10,21,msft,57
57,40,62,29,0,30,32,regn,57
36,60,54,50,19,18,41,mu,14
43,60,38,0,0,30,21,qcom,29
50,40,62,71,0,30,28,nflx,43
36,40,62,71,74,48,28,nclh,29
43,50,69,64,69,48,25,orly,43
50,50,85,50,0,60,39,mnst,71
43,50,69,50,0,50,32,payx,57
,,,,,,,lbtyk,
43,60,54,50,0,40,25,sbux,43
29,40,31,50,0,30,15,sbac,29
64,100,69,89,56,50,52,tmus,29
43,40,31,36,0,20,15,nxpi,29
43,40,38,0,0,38,12,srcl,43
43,50,62,36,0,58,32,rost,57
64,40,62,71,0,30,48,pcln,43
64,60,77,43,69,20,61,nvda,43
57,50,62,50,93,40,68,swks,57
43,25,38,0,0,50,21,trip,71
57,60,54,64,0,38,21,foxa,57
29,50,46,7,0,20,12,pcar,57
,,,,,,,fox,
50,75,69,7,0,80,12,tsco,57
43,60,77,71,0,30,32,khc,29
64,50,92,71,56,60,59,ulta,71
21,25,0,64,0,20,15,tsla,29
64,50,69,71,0,50,55,stx,29
57,60,62,57,0,40,35,pypl,29
36,25,23,50,0,0,35,vrtx,57
64,60,69,71,0,40,59,txn,57
29,40,62,71,0,30,55,siri,29
50,40,69,7,0,40,32,vrsk,29
