symbol,date,open,high,low,close,volume,adj_close
GOOG,2004-08-19,100.000168,104.060182,95.960165,100.340176,44871300,50.119968
GOOG,2004-08-20,101.010175,109.080187,100.500174,108.310183,22942800,54.10099
GOOG,2004-08-23,110.750191,113.480193,109.050183,109.400185,18342800,54.645447
GOOG,2004-08-24,111.240189,111.600192,103.570177,104.870176,15319700,52.382705
GOOG,2004-08-25,104.960181,108.000187,103.88018,106.000184,9232100,52.947145
GOOG,2004-08-26,104.95018,107.950188,104.660179,107.910182,7128600,53.90119
GOOG,2004-08-27,108.100185,108.620186,105.69018,106.150181,6241200,53.022069
GOOG,2004-08-30,105.280178,105.490184,102.010172,102.010172,5221400,50.954132
GOOG,2004-08-31,102.300173,103.71018,102.160177,102.370175,4941200,51.133953
GOOG,2004-09-01,102.700174,102.97018,99.670169,100.250171,9181600,50.075011
GOOG,2004-09-02,99.190173,102.370175,98.94017,101.510173,15190400,50.704382
GOOG,2004-09-03,100.950174,101.740174,99.320168,100.010169,5176800,49.95513
GOOG,2004-09-07,101.010175,102.000178,99.610169,101.580175,5875200,50.739348
GOOG,2004-09-08,100.740176,103.03018,100.500174,102.300173,5009200,51.098988
GOOG,2004-09-09,102.530174,102.710175,101.000173,102.310174,4080900,51.103983
GOOG,2004-09-10,101.600178,106.560183,101.300176,105.330177,8740200,52.612476
GOOG,2004-09-13,106.630185,108.410189,106.460185,107.500188,7881300,53.696398
GOOG,2004-09-14,107.450181,112.000192,106.790184,111.490192,10880300,55.689407
GOOG,2004-09-15,110.560189,114.230195,110.200186,112.000192,10763900,55.944152
GOOG,2004-09-16,112.340192,115.800201,111.650191,113.970198,9310200,56.928171
GOOG,2004-09-17,114.420198,117.4902,113.550195,117.4902,9517400,58.686414
GOOG,2004-09-20,116.950204,121.600205,116.770202,119.360208,10679200,59.620484
GOOG,2004-09-21,119.810208,120.420206,117.510203,117.840202,7263000,58.86124
GOOG,2004-09-22,117.400203,119.670204,116.8102,118.380206,7617100,59.130972
GOOG,2004-09-23,118.840207,122.630207,117.020198,120.820207,8576100,60.349754
GOOG,2004-09-24,120.940208,124.100214,119.760209,119.830203,9166700,59.855246
GOOG,2004-09-27,119.560205,120.880207,117.800204,118.260205,7099600,59.071031
GOOG,2004-09-28,121.300211,127.400217,120.210209,126.860221,17009400,63.366744
GOOG,2004-09-29,126.700214,135.020238,126.23022,131.080225,30661400,65.474638
GOOG,2004-09-30,129.900219,132.300222,129.000219,129.600224,13823300,64.735377
GOOG,2004-10-01,130.800218,134.240224,128.900221,132.580229,15196700,66.223891
GOOG,2004-10-04,135.250238,136.870228,134.030226,135.060228,13084600,67.462651
GOOG,2004-10-05,134.660235,138.530238,132.240229,138.370232,15044200,69.116
GOOG,2004-10-06,137.550243,138.450243,136.000233,137.080241,13444900,68.471649
GOOG,2004-10-07,136.920235,139.880237,136.550231,138.850236,14182100,69.355762
GOOG,2004-10-08,138.720233,139.680241,137.020233,137.730237,11122000,68.796322
GOOG,2004-10-11,137.00023,138.860237,133.850233,135.260224,10521800,67.56255
GOOG,2004-10-12,134.440236,137.610236,133.400233,137.400238,11720800,68.631488
